Frame,T,Caos_Original,Caos_Fenix,Ruido_Vibracional,Fluxo_Qiskit,q0_x,q0_y,q0_z,q0_S,q0_VR_Ganho,q0_Torque,q1_x,q1_y,q1_z,q1_S,q1_VR_Ganho,q1_Torque,q2_x,q2_y,q2_z,q2_S,q2_VR_Ganho,q2_Torque,q3_x,q3_y,q3_z,q3_S,q3_VR_Ganho,q3_Torque,q4_x,q4_y,q4_z,q4_S,q4_VR_Ganho,q4_Torque,q5_x,q5_y,q5_z,q5_S,q5_VR_Ganho,q5_Torque,q6_x,q6_y,q6_z,q6_S,q6_VR_Ganho,q6_Torque,q7_x,q7_y,q7_z,q7_S,q7_VR_Ganho,q7_Torque,q8_x,q8_y,q8_z,q8_S,q8_VR_Ganho,q8_Torque,q9_x,q9_y,q9_z,q9_S,q9_VR_Ganho,q9_Torque,q10_x,q10_y,q10_z,q10_S,q10_VR_Ganho,q10_Torque,q11_x,q11_y,q11_z,q11_S,q11_VR_Ganho,q11_Torque,q12_x,q12_y,q12_z,q12_S,q12_VR_Ganho,q12_Torque,q13_x,q13_y,q13_z,q13_S,q13_VR_Ganho,q13_Torque
10,0.50000000,0.08333333,0.08333333,0.00000000,-0.05000000,15.98025344,16.81044190,0.00000120,0.99924971,0.95697186,-0.03765880,7.11363526,22.07613552,0.00000120,0.99977246,0.93922849,-0.01938271,-3.17708919,22.97532337,0.00000120,0.99888014,0.96973587,-0.05100984,-12.83232717,19.32073449,0.00000120,0.99898672,0.96603605,-0.04712247,-19.94481181,11.83908553,0.00000120,0.99928473,0.95577200,-0.03641247,-23.10593828,2.01870092,0.00000120,0.99963479,0.94386621,-0.02412756,-21.69187956,-8.21108068,0.00000120,0.99938233,0.95243617,-0.03295539,-16.00985614,-16.78225379,0.00000120,0.99962672,0.91926153,0.00078255,-7.10403905,-22.07922212,0.00000120,0.99907418,0.96301116,-0.04395477,3.16285391,-22.97729219,0.00000120,0.99993952,0.93363359,-0.01368904,12.83313950,-19.32019575,0.00000120,0.99913635,0.96086753,-0.04171569,19.93677831,-11.85260129,0.00000120,0.99843589,0.98532485,-0.06754346,23.10633748,-2.01411461,0.00000120,0.99940497,0.95166401,-0.03215682,21.69155770,8.21192681,0.00000120,0.99906007,0.96349861,-0.04446459
11,0.55000000,0.09166667,0.09166667,0.00000000,0.05000000,14.52364177,18.00341525,0.00000131,0.99838604,0.95593734,-0.04455027,5.31467927,22.51253947,0.00000131,0.99723509,0.99727421,-0.08869473,-5.02026843,22.57999116,0.00000131,0.99842214,0.95467120,-0.04322596,-14.30824225,18.17505534,0.00000131,0.99910454,0.93107822,-0.01885869,-20.78294189,10.15523038,0.00000131,0.99813207,0.96489625,-0.05396855,-23.13097777,0.13016878,0.00000131,0.99844187,0.95398033,-0.04250406,-20.90437473,-9.90280224,0.00000131,0.99916396,0.92905421,-0.01679589,-14.55587994,-17.97739144,0.00000131,0.99724047,0.99707652,-0.08847947,-5.29730042,-22.51662912,0.00000131,0.99751354,0.98709837,-0.07766598,5.00641653,-22.58305227,0.00000131,0.99908008,0.93191287,-0.01971062,14.30348783,-18.17879373,0.00000131,0.99923534,0.92662881,-0.01432981,20.76442486,-10.19308689,0.00000131,0.99712059,0.99851081,-0.09301824,23.13097548,-0.13039156,0.00000131,0.99849113,0.95225688,-0.04070538,20.90133400,9.90922707,0.00000131,0.99898986,0.93499846,-0.02286657
12,0.60000000,0.10000000,0.10000000,0.00000000,0.05000000,12.97679697,19.06629044,0.00000141,0.99821190,0.95941194,-0.05618820,3.41879552,22.80859236,0.00000141,0.99858444,0.94527958,-0.04133278,-6.81574829,22.03328351,0.00000141,0.99860831,0.94438174,-0.04039611,-15.69043176,16.90353692,0.00000141,0.99907099,0.92715989,-0.02259559,-21.45945555,8.45070543,0.00000141,0.99707250,0.99594478,-0.10364147,-22.99986925,-1.71113582,0.00000141,0.99746916,0.98827434,-0.08717079,-19.96401084,-11.54811242,0.00000141,0.99824745,0.95805339,-0.05475105,-13.01856599,-19.03783966,0.00000141,0.99722074,0.99813615,-0.09795150,-3.42341830,-22.80789030,0.00000141,0.99881384,0.93668926,-0.03240599,6.80647256,-22.03613650,0.00000141,0.99897169,0.93082722,-0.02635953,15.66070046,-16.93118263,0.00000141,0.99717150,0.99989672,-0.10009295,21.45874167,-8.45249868,0.00000141,0.99726211,0.99648636,-0.09614118,23.00004879,1.70773482,0.00000141,0.99942295,0.91428690,-0.00949865,19.96696340,11.54296144,0.00000141,0.99885226,0.93525877,-0.03092711
13,0.65000000,0.10833333,0.10833333,0.00000000,0.05000000,11.34783466,19.99447604,0.00000151,0.99850550,0.94765630,-0.05171354,1.54904570,22.93801981,0.00000151,0.99857666,0.94462753,-0.04852434,-8.52026275,21.35320173,0.00000151,0.99757350,0.98830163,-0.09543633,-16.93087953,15.55313639,0.00000151,0.99722260,0.99592959,-0.11195449,-22.00943744,6.64346329,0.00000151,0.99932893,0.91323813,-0.01604991,-22.70818263,-3.59031232,0.00000151,0.99879583,0.93536434,-0.03883088,-18.92015707,-13.06069269,0.00000151,0.99760946,0.98669919,-0.09368046,-11.35287237,-19.99163242,0.00000151,0.99814200,0.96329114,-0.06832985,-1.56251641,-22.93708743,0.00000151,0.99905325,0.92460913,-0.02769125,8.53988776,-21.34534834,0.00000151,0.99786394,0.97543817,-0.08141478,16.95826968,-15.52316020,0.00000151,0.99906673,0.92404945,-0.02711498,22.01793107,-6.61534926,0.00000151,0.99866596,0.94084158,-0.04455151,22.70875665,3.58665064,0.00000151,0.99891222,0.93048470,-0.03376141,18.91725167,13.06489616,0.00000151,0.99767315,0.98386762,-0.09058411
14,0.70000000,0.11666667,0.11666667,0.00000000,-0.05000000,9.71721317,20.74947237,0.00000161,0.99978870,0.89148820,-0.00160788,-0.25568022,22.91068276,0.00000161,0.99985275,0.89438405,-0.00451365,-10.22651724,20.50326440,0.00000161,0.99924026,0.93643976,-0.04775523,-18.06022662,14.09940261,0.00000161,0.99970356,0.88765219,0.00222678,-22.39174056,4.85538667,0.00000161,0.99979701,0.89186336,-0.00198380,-22.26549702,-5.40490580,0.00000161,0.99935603,0.93095612,-0.04200803,-17.71271226,-14.53359820,0.00000161,0.99912065,0.94214138,-0.05376493,-9.70138453,-20.75692678,0.00000161,0.99812389,0.99112360,-0.10679420,0.31602560,-22.90995677,0.00000161,0.99884330,0.95550534,-0.06798587,10.19055643,-20.52119130,0.00000161,0.99823692,0.98543464,-0.10050860,18.10178033,-14.04601836,0.00000161,0.99958644,0.92014496,-0.03077205,22.40354324,-4.80078763,0.00000161,0.99858151,0.96830553,-0.08178217,22.26544356,5.40518748,0.00000161,0.99881288,0.95698343,-0.06957027,17.72910794,14.51356621,0.00000161,0.99975831,0.91216801,-0.02256300
15,0.75000000,0.12500000,0.12500000,0.00000000,-0.05000000,7.94408588,21.40246093,0.00000170,0.99824992,0.98277305,-0.10576893,-2.13769735,22.72891739,0.00000170,0.99980201,0.90323814,-0.02098309,-11.81563287,19.53367596,0.00000170,0.99886397,0.95044761,-0.07050208,-19.11550254,12.48082836,0.00000170,0.99949790,0.91826293,-0.03648119,-22.63163249,2.99717820,0.00000170,0.99812478,0.98950307,-0.11324624,-21.67446827,-7.16874943,0.00000170,0.99938332,0.92399317,-0.04245693,-16.41831811,-15.86229946,0.00000170,0.99871827,0.95801360,-0.07865933,-7.94221619,-21.40315471,0.00000170,0.99826824,0.98179186,-0.10468263,2.08922081,-22.73342464,0.00000170,0.99978762,0.88337009,-0.00087362,11.81566201,-19.53365832,0.00000170,0.99886529,0.95037959,-0.07042902,19.09538415,-12.51160060,0.00000170,0.99820566,0.98514793,-0.10840226,22.63929533,-2.93869534,0.00000170,0.99907094,0.93980941,-0.05913452,21.68501324,7.13677958,0.00000170,0.99985602,0.90059742,-0.01828489,16.43933811,15.84051710,0.00000170,0.99830717,0.97970986,-0.10238084
16,0.80000000,0.13333333,0.13333333,0.00000000,-0.05000000,6.11124391,21.90524847,0.00000179,0.99895132,0.93682056,-0.06376920,-3.99143932,22.38873361,0.00000179,0.99862346,0.95327956,-0.08149230,-13.25573226,18.47896146,0.00000179,0.99788112,0.99169866,-0.12395970,-19.97998736,10.86222130,0.00000179,0.99970446,0.90015000,-0.02532974,-22.71580766,1.08589335,0.00000179,0.99876676,0.94604813,-0.07367018,-20.93690609,-8.87880000,0.00000179,0.99882890,0.94293077,-0.07031521,-15.01155615,-17.08333357,0.00000179,0.99879750,0.94450468,-0.07200781,-6.11215452,-21.90499649,0.00000179,0.99908048,0.93042012,-0.05695500,3.89060292,-22.40649336,0.00000179,0.99968917,0.87172393,0.00344258,13.31174838,-18.43867611,0.00000179,0.99924592,0.92229024,-0.04836308,19.98137782,-10.85961608,0.00000179,0.99825756,0.97201407,-0.10201126,22.71210954,-1.16039681,0.00000179,0.99786199,0.99271029,-0.12509830,20.94238516,8.86585435,0.00000179,0.99846741,0.96122179,-0.09014648,15.04161992,17.05688936,0.00000179,0.99978591,0.89627714,-0.02135624
17,0.85000000,0.14166667,0.14166667,0.00000000,0.05000000,4.29420039,22.23910500,0.00000188,0.99799726,0.94344239,-0.07872715,-5.77373418,21.90166276,0.00000188,0.99867135,0.91339438,-0.04665539,-14.66988514,17.25721205,0.00000188,0.99720136,0.98029064,-0.11936066,-20.69006967,9.21634892,0.00000188,0.99960525,0.87344753,-0.00555465,-22.63722372,-0.75818730,0.00000188,0.99860160,0.91645536,-0.04987785,-20.08651829,-10.46655363,0.00000188,0.99724988,0.97800062,-0.11679449,-13.59873230,-18.11327639,0.00000188,0.99674962,0.99811461,-0.14328318,-4.30203020,-22.23758506,0.00000188,0.99777356,0.95364707,-0.08983836,5.75474387,-21.90662433,0.00000188,0.99748064,0.96718822,-0.10475084,14.68724807,-17.24244636,0.00000188,0.99743949,0.96910680,-0.10687911,20.72326357,-9.14139954,0.00000188,0.99867193,0.91336870,-0.04662841,22.63698729,0.76492072,0.00000188,0.99826177,0.93152754,-0.06589360,20.09461433,10.45113803,0.00000188,0.99940878,0.88169306,-0.01389141,13.56218801,18.14074829,0.00000188,0.99931883,0.88549601,-0.01776246
18,0.90000000,0.15000000,0.15000000,0.00000000,0.05000000,2.56086180,22.40804583,0.00000196,0.99603749,0.99505853,-0.15418802,-7.51416738,21.26542723,0.00000196,0.99789015,0.92903387,-0.07096882,-15.99653376,15.89943832,0.00000196,0.99797951,0.92553146,-0.06720547,-21.30956442,7.38803819,0.00000196,0.99755750,0.94219885,-0.08523231,-22.41326663,-2.51488195,0.00000196,0.99648438,0.98605728,-0.13406352,-19.09683165,-11.99975017,0.00000196,0.99923980,0.87761909,-0.01707617,-11.95042701,-19.12766739,0.00000196,0.99735708,0.95022757,-0.09402143,-2.47365058,-22.41787779,0.00000196,0.99723205,0.95527344,-0.09957994,7.51415927,-21.26543056,0.00000196,0.99790439,0.92847475,-0.07036716,15.99644932,-15.89951474,0.00000196,0.99778445,0.93319553,-0.07545770,21.30338749,-7.40578997,0.00000196,0.99712537,0.95960175,-0.10436924,22.40676028,2.57238687,0.00000196,0.99715188,0.95852422,-0.10317511,19.06143828,12.05580097,0.00000196,0.99764524,0.93870724,-0.08143132,11.94799557,19.12922247,0.00000196,0.99835319,0.91103755,-0.05177320
19,0.95000000,0.15833333,0.15833333,0.00000000,-0.05000000,0.64797661,22.44483805,0.00000203,0.99914892,0.89259092,-0.03990456,-9.08856991,20.53255793,0.00000203,0.99644521,0.98932594,-0.14602639,-17.14857500,14.49535525,0.00000203,0.99739512,0.95410298,-0.10623904,-21.71570952,5.71103104,0.00000203,0.99631725,0.99417754,-0.15160597,-22.03590824,-4.31358105,0.00000203,0.99664910,0.98164863,-0.13724576,-17.99384910,-13.43165864,0.00000203,0.99646722,0.98849395,-0.14507195,-10.35925914,-19.92169833,0.00000203,0.99673352,0.97848863,-0.13364904,-0.63769425,-22.44509652,0.00000203,0.99746135,0.95169841,-0.10356977,9.13655756,-20.51131960,0.00000203,0.99944821,0.88253004,-0.02945081,17.06856260,-14.58955901,0.00000203,0.99960014,0.85133122,0.00223106,21.73701433,-5.62964430,0.00000203,0.99920939,0.89054828,-0.03777294,22.02205657,4.38396648,0.00000203,0.99863614,0.91011875,-0.05838697,17.93903957,13.50485082,0.00000203,0.99863515,0.91015300,-0.05842343,10.29798056,19.95348092,0.00000203,0.99828854,0.92221261,-0.07133669
